"sub","ses","task","datatype","trial_n","cold_t","warm_t","burn_yn","temp_cw"
"4","1","fast","beh",51,21,42.4000015258789,0,1
"4","1","fast","beh",52,15,38.7000007629395,1,1
"4","1","fast","beh",53,27,45.5999984741211,1,1
"4","1","fast","beh",54,27,47.2000007629395,1,1
"4","1","fast","beh",55,15,40.2000007629395,1,0
"4","1","fast","beh",56,18,39.0999984741211,0,1
"4","1","fast","beh",57,6,33.0999984741211,1,0
"4","1","fast","beh",58,18,42,0,1
"4","1","fast","beh",59,24,44.0999984741211,0,1
"4","1","fast","beh",60,6,31.7000007629395,1,0
"4","1","fast","beh",61,9,35.7999992370605,1,0
"4","1","fast","beh",62,18,42,0,1
"4","1","fast","beh",63,9,32.9000015258789,1,0
"4","1","fast","beh",64,21,43.9000015258789,0,1
"4","1","fast","beh",65,9,32.5999984741211,0,0
"4","1","fast","beh",66,15,37.0999984741211,0,1
"4","1","fast","beh",67,21,42.4000015258789,1,0
"4","1","fast","beh",68,6,33.2000007629395,1,0
"4","1","fast","beh",69,27,44.2000007629395,0,1
"4","1","fast","beh",70,9,32.9000015258789,0,0
"4","1","fast","beh",71,18,42,0,1
"4","1","fast","beh",72,21,43.9000015258789,0,1
"4","1","fast","beh",73,9,34.2999992370605,0,0
"4","1","fast","beh",74,24,44.0999984741211,0,1
"4","1","fast","beh",75,6,33.2000007629395,0,0
"4","1","fast","beh",76,21,40.7000007629395,0,1
"4","1","fast","beh",77,27,47.2999992370605,1,1
"4","1","fast","beh",78,24,42.5999984741211,0,1
"4","1","fast","beh",79,24,44.0999984741211,1,1
"4","1","fast","beh",80,27,45.7000007629395,1,1
"4","1","fast","beh",81,21,42.4000015258789,0,0
"4","1","fast","beh",82,9,32.9000015258789,1,0
"4","1","fast","beh",83,27,45.7000007629395,1,1
"4","1","fast","beh",84,9,34.4000015258789,0,0
"4","1","fast","beh",85,12,35.0999984741211,1,0
"4","1","fast","beh",86,9,32.5999984741211,1,0
"4","1","fast","beh",87,6,31.7000007629395,0,0
"4","1","fast","beh",88,27,45.7000007629395,1,1
"4","1","fast","beh",89,21,42.4000015258789,0,1
"4","1","fast","beh",90,24,44.0999984741211,1,1
"4","1","fast","beh",91,27,45.5999984741211,1,1
"4","1","fast","beh",92,27,43.4000015258789,0,1
"4","1","fast","beh",93,18,38.5999984741211,0,0
"4","1","fast","beh",94,15,40.5999984741211,0,1
"4","1","fast","beh",95,21,42.4000015258789,0,1
"4","1","fast","beh",96,24,44.0999984741211,0,1
"4","1","fast","beh",97,18,40.7000007629395,1,1
"4","1","fast","beh",98,27,43.2999992370605,0,1
"4","1","fast","beh",99,12,34.7000007629395,1,0
"4","1","fast","beh",100,27,42.9000015258789,0,1
"5","1","fast","beh",1,27,35,1,1
"5","1","fast","beh",2,15,31,0,0
"5","1","fast","beh",3,27,40.7000007629395,0,1
"5","1","fast","beh",4,9,36.9000015258789,1,0
"5","1","fast","beh",5,6,48.7999992370605,1,1
"5","1","fast","beh",6,9,47,1,1
"5","1","fast","beh",7,15,34,0,0
"5","1","fast","beh",8,18,37.7999992370605,0,0
"5","1","fast","beh",9,6,33.5,1,0
"5","1","fast","beh",10,21,41.0999984741211,1,1
"5","1","fast","beh",11,6,44.7000007629395,1,1
