"sub","ses","task","datatype","trial_n","quality","threshold","threshold_se","slope","slope_se","response","stim"
30,1,"psi","beh",2,"cold",13.8790575627081,7.49712233399147,0.0656932734468954,1.09143196195398,1,8.89999961853027
30,1,"psi","beh",3,"cold",12.0140369601185,7.10482784932691,0.0736130964822605,1.10903605903117,0,12.6000003814697
30,1,"psi","beh",4,"cold",12.6244458560947,6.41553242781685,0.122773618669494,1.12450567421143,1,7.69999980926514
30,1,"psi","beh",5,"cold",13.9989540350076,6.56343087270913,0.0949425859025378,1.10166651765614,1,11.3000001907349
30,1,"psi","beh",6,"cold",12.9053650940119,5.57174001077388,0.181639681185444,1.08962439935701,0,16.1000003814697
30,1,"psi","beh",7,"cold",14.4631057279271,6.58561582619494,0.0620671681507683,1.01107418551284,1,13.3000001907349
30,1,"psi","beh",8,"cold",13.7165949348077,5.74455099451235,0.111313701804676,0.99503441386925,0,20.6000003814697
30,1,"psi","beh",9,"cold",13.1597941167247,4.88504123459923,0.191761989269963,0.934282583990114,0,19
30,1,"psi","beh",10,"cold",14.037904138335,4.83692906321312,0.191224743620942,0.948033301604583,1,13.1000003814697
30,1,"psi","beh",11,"cold",13.6410304140094,4.03565093493079,0.309140344487964,0.869224984388609,0,17.3999996185303
30,1,"psi","beh",12,"cold",12.9795423243432,3.99952290486308,0.282797904484263,0.838747571815712,0,13.8000001907349
30,1,"psi","beh",13,"cold",13.3251365113968,3.32611858566178,0.418967138176602,0.769204471780434,1,11
30,1,"psi","beh",14,"cold",12.7528089612504,3.61738824770185,0.307503078098388,0.769043043104958,0,12.8999996185303
30,1,"psi","beh",15,"cold",12.9598278717847,2.9666911173193,0.431028104527362,0.681161301876198,1,10.1000003814697
30,1,"psi","beh",16,"cold",12.4464523254186,3.57250633938498,0.282834356688722,0.750303418015482,0,11.8999996185303
30,1,"psi","beh",17,"cold",12.5845253985932,2.93335234648969,0.387982532411986,0.659830029183169,1,9
30,1,"psi","beh",18,"cold",12.9479367814508,2.82133635805328,0.383242033431746,0.618423622286978,1,12.1000003814697
30,1,"psi","beh",19,"cold",12.7253730071607,2.28786906860096,0.482933320659106,0.541074865978903,0,15
30,1,"psi","beh",20,"cold",12.5618208782806,1.89827374459303,0.576976217817476,0.481484528718434,0,14.3000001907349
30,1,"psi","beh",21,"cold",12.1942895275091,2.20068649488717,0.468004782665601,0.522882328297644,0,11.8999996185303
30,1,"psi","beh",22,"cold",12.3271769462899,1.80087139728562,0.558967895106102,0.46037584533212,1,10.3000001907349
30,1,"psi","beh",23,"cold",12.0505092686581,1.84372164084913,0.564778235731898,0.489298884537211,0,12.1000003814697
30,1,"psi","beh",24,"cold",12.3221067959709,1.89049199460141,0.499046948691982,0.462140498656041,1,12.1999998092651
30,1,"psi","beh",25,"cold",12.3984739544331,1.55527426331044,0.573820379999699,0.402702259979836,1,10.3000001907349
