id,warmT,coldT,burn_yn,cold_warm
11,32.9000015258789,27,0,0
11,32.7000007629395,24,1,1
11,36.7000007629395,27,0,0
11,38.7000007629395,27,1,0
11,38.2000007629395,27,1,1
11,37.7000007629395,27,1,1
11,37.2000007629395,27,1,1
11,36.7999992370605,27,1,0
11,33.2000007629395,27,1,1
11,32.0999984741211,24,1,1
11,36.2000007629395,27,1,0
11,35.9000015258789,27,1,0
11,31.7000007629395,24,1,0
11,35.5999984741211,27,0,0
11,32.7999992370605,27,1,1
11,36.4000015258789,27,0,1
11,32.2999992370605,27,0,1
11,32.0999984741211,24,1,1
11,37.2999992370605,27,1,1
11,31.7999992370605,24,0,0
11,37.4000015258789,27,1,1
11,32.5999984741211,27,1,1
11,32.2000007629395,27,1,1
11,37,27,1,1
11,31.7000007629395,27,1,1
11,31.2999992370605,27,0,0
11,31.6000003814697,27,1,1
11,31.2999992370605,27,1,1
11,36.5,27,0,1
11,32.2000007629395,24,1,1
11,32,24,1,1
11,36.7999992370605,27,1,1
11,31.2000007629395,27,1,1
11,30.8999996185303,27,1,1
11,30.7000007629395,27,0,1
11,31.6000003814697,24,1,1
11,31.5,24,1,1
11,31.2999992370605,24,1,1
11,36.2999992370605,27,1,1
11,31,24,0,1
11,30.7999992370605,27,0,1
11,31,27,1,1
11,31.5,24,1,1
11,31.3999996185303,24,1,1
11,30.7000007629395,27,1,1
11,31.1000003814697,24,1,1
11,30.8999996185303,24,1,1
11,30.7999992370605,24,1,1
11,35.9000015258789,27,1,1
11,30.6000003814697,24,1,1
11,30.2999992370605,27,1,1
11,30.2999992370605,24,1,1
11,30,27,1,1
11,30.1000003814697,24,1,0
11,35.2999992370605,27,0,0
11,30.1000003814697,24,1,0
11,30,27,0,0
11,35.7000007629395,27,0,1
11,36,27,1,0
